icd9_code,icd9_code_nodot,specialty,sheet,procedure_group,operation,msbos,msbos_meaning,recommended_units
06.95,0695,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.95,0695,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.95,0695,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.98,0698,ENT (Otolaryngology),ENT,Head-Neck,Thyroid/Parathyroid surgery,none,No blood preparation,
06.98,0698,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.98,0698,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
06.99,0699,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : High risk bleeding,T/S,Type and Screen,
06.99,0699,General Surgery,Sx,ศัลยกรรมทั่วไป,Thyroid/parathyroid surgery : normal case,none,No blood preparation,
07.14,0714,General Surgery,Sx,ศัลยกรรมระบบประสาท,Transsphenoidal surgery,G/M,Group and Match (crossmatch),1
07.62,0762,General Surgery,Sx,ศัลยกรรมระบบประสาท,Transsphenoidal surgery,G/M,Group and Match (crossmatch),1
07.63,0763,General Surgery,Sx,ศัลยกรรมระบบประสาท,Transsphenoidal surgery,G/M,Group and Match (crossmatch),1
07.65,0765,General Surgery,Sx,ศัลยกรรมระบบประสาท,Transsphenoidal surgery,G/M,Group and Match (crossmatch),1
07.68,0768,General Surgery,Sx,ศัลยกรรมระบบประสาท,Transsphenoidal surgery,G/M,Group and Match (crossmatch),1
07.69,0769,General Surgery,Sx,ศัลยกรรมระบบประสาท,Transsphenoidal surgery,G/M,Group and Match (crossmatch),1
07.71,0771,General Surgery,Sx,ศัลยกรรมระบบประสาท,Transsphenoidal surgery,G/M,Group and Match (crossmatch),1
07.72,0772,General Surgery,Sx,ศัลยกรรมระบบประสาท,Transsphenoidal surgery,G/M,Group and Match (crossmatch),1
07.79,0779,General Surgery,Sx,ศัลยกรรมระบบประสาท,Transsphenoidal surgery,G/M,Group and Match (crossmatch),1
08.36,0836,ENT (Otolaryngology),ENT,Facial plastic,Blepharoplasty,none,No blood preparation,
08.52,0852,ENT (Otolaryngology),ENT,Facial plastic,Blepharoplasty,none,No blood preparation,
09.81,0981,ENT (Otolaryngology),ENT,Rhino,Endoscopic DCR,none,No blood preparation,
17.43,1743,General Surgery,Sx,ศัลยกรรมทางเดินปัสสาวะ,Robotic-assisted laparoscopic prostatectomy (RALP),G/M,Group and Match (crossmatch),2
18.31,1831,ENT (Otolaryngology),ENT,Oto,EAC surgery,none,No blood preparation,
18.6,186,ENT (Otolaryngology),ENT,Oto,EAC surgery,none,No blood preparation,
18.79,1879,ENT (Otolaryngology),ENT,Oto,EAC surgery,none,No blood preparation,
18.9,189,ENT (Otolaryngology),ENT,Oto,EAC surgery,none,No blood preparation,
19.11,1911,ENT (Otolaryngology),ENT,Oto,ME tumor surgery,none,No blood preparation,
19.19,1919,ENT (Otolaryngology),ENT,Oto,ME tumor surgery,none,No blood preparation,
19.21,1921,ENT (Otolaryngology),ENT,Oto,ME tumor surgery,none,No blood preparation,
19.4,194,ENT (Otolaryngology),ENT,Oto,EAC surgery,none,No blood preparation,
19.4,194,ENT (Otolaryngology),ENT,Oto,Myringotomy + PE tube,none,No blood preparation,
19.52,1952,ENT (Otolaryngology),ENT,Oto,Tympanoplasty,none,No blood preparation,
19.53,1953,ENT (Otolaryngology),ENT,Oto,Tympanoplasty,none,No blood preparation,
19.54,1954,ENT (Otolaryngology),ENT,Oto,Tympanoplasty,none,No blood preparation,
19.6,196,ENT (Otolaryngology),ENT,Oto,Tympanoplasty,none,No blood preparation,
20.23,2023,ENT (Otolaryngology),ENT,Oto,ME tumor surgery,none,No blood preparation,
20.39,2039,ENT (Otolaryngology),ENT,Oto,ME tumor surgery,none,No blood preparation,
20.41,2041,ENT (Otolaryngology),ENT,Oto,Mastoidectomy,none,No blood preparation,
20.42,2042,ENT (Otolaryngology),ENT,Oto,Mastoidectomy,none,No blood preparation,
